Date;Price;Open;High;Low;Vol.;Change %
Jun 01, 2018;10,169.35;10247.16;10,280.74;10,122.99;7.17B;-1.23%
May 31, 2018;10,295.73;10178.96;10,295.73;10,115.66;8.26B;1.88%
May 30, 2018;10,105.79;10203.66;10,252.15;10,097.48;9.03B;-2.35%
May 29, 2018;10,349.07;10446.99;10,517.14;10,347.94;7.35B;-1.11%
May 28, 2018;10,465.54;10439.65;10,536.57;10,382.72;7.50B;0.17%
May 25, 2018;10,448.22;10550.63;10,576.81;10,435.95;7.78B;-1.10%
May 24, 2018;10,564.13;10632.50;10,657.45;10,552.35;7.06B;-0.63%
May 23, 2018;10,631.12;10746.82;10,746.82;10,631.12;8.09B;-1.25%
May 22, 2018;10,765.81;10754.70;10,765.81;10,689.51;7.48B;0.00%
May 21, 2018;10,765.35;10741.19;10,789.76;10,731.61;8.74B;0.87%
May 18, 2018;10,672.52;10623.91;10,679.51;10,557.75;6.91B;0.35%
May 17, 2018;10,635.50;10702.07;10,713.71;10,615.92;6.46B;-0.62%
May 16, 2018;10,701.32;10713.59;10,776.43;10,691.14;7.44B;-0.43%
May 15, 2018;10,747.99;10692.82;10,747.99;10,632.55;7.55B;0.72%
May 14, 2018;10,671.46;10649.11;10,723.79;10,641.29;8.27B;0.35%
May 11, 2018;10,634.30;10748.89;10,752.82;10,634.23;8.04B;-0.89%
May 10, 2018;10,729.77;10706.73;10,742.64;10,651.87;7.62B;0.38%
May 09, 2018;10,689.07;10693.22;10,705.15;10,639.92;6.88B;-0.17%
May 08, 2018;10,707.80;10632.11;10,721.98;10,630.58;8.52B;0.76%
May 07, 2018;10,626.51;10456.43;10,626.51;10,450.49;8.19B;1.92%
May 04, 2018;10,426.19;10428.85;10,490.06;10,411.83;7.01B;-0.31%
May 03, 2018;10,458.62;10329.16;10,459.39;10,228.26;9.13B;1.12%
May 02, 2018;10,342.85;10356.19;10,433.28;10,283.52;7.73B;0.18%
Apr 27, 2018;10,324.47;10353.02;10,382.77;10,239.97;8.27B;0.31%
Apr 26, 2018;10,292.12;10495.03;10,508.01;10,290.37;9.15B;-2.42%
Apr 25, 2018;10,547.10;10503.94;10,579.18;10,488.87;8.69B;-0.09%
Apr 24, 2018;10,556.82;10325.51;10,556.82;10,325.51;9.76B;2.19%
Apr 23, 2018;10,330.63;10416.78;10,471.21;10,228.09;9.49B;-0.75%
Apr 20, 2018;10,408.91;10571.99;10,619.17;10,392.69;9.71B;-1.79%
Apr 19, 2018;10,598.35;10502.36;10,646.70;10,485.41;10.10B;1.02%
Apr 18, 2018;10,491.15;10477.52;10,514.74;10,249.87;11.10B;0.92%
Apr 17, 2018;10,395.16;10636.88;10,669.15;10,390.05;9.54B;-2.13%
Apr 16, 2018;10,621.79;10660.69;10,704.39;10,540.69;9.50B;-0.61%
Apr 13, 2018;10,687.02;10789.77;10,825.67;10,670.65;7.25B;-0.37%
Apr 12, 2018;10,726.95;10797.35;10,825.66;10,720.83;7.53B;-0.75%
Apr 11, 2018;10,808.37;10796.50;10,856.44;10,786.84;8.99B;0.40%
Apr 10, 2018;10,765.62;10671.69;10,765.62;10,628.24;9.23B;1.05%
Apr 09, 2018;10,653.38;10655.07;10,725.11;10,571.16;8.53B;-0.29%
Apr 04, 2018;10,684.56;10778.86;10,829.82;10,678.94;8.90B;-0.65%
Apr 03, 2018;10,754.29;10718.43;10,783.93;10,667.33;10.02B;-0.91%
Apr 02, 2018;10,852.95;10887.47;10,950.22;10,835.71;11.65B;-0.14%
Mar 30, 2018;10,868.65;10776.71;10,883.05;10,766.53;9.97B;1.05%
Mar 29, 2018;10,755.92;10676.56;10,778.80;10,564.29;9.58B;1.18%
Mar 28, 2018;10,630.69;10633.70;10,768.48;10,613.06;9.95B;-1.35%
Mar 27, 2018;10,775.71;10683.16;10,799.37;10,675.50;11.41B;2.00%
Mar 26, 2018;10,564.38;10303.75;10,564.38;10,217.22;10.19B;1.19%
Mar 23, 2018;10,439.99;10511.16;10,664.93;10,256.50;14.84B;-4.02%
Mar 22, 2018;10,877.25;10988.83;11,035.58;10,858.44;8.27B;-0.94%
Mar 21, 2018;10,980.55;11100.91;11,170.56;10,973.58;9.41B;-0.88%
Mar 20, 2018;11,077.80;10982.73;11,082.03;10,951.99;8.03B;0.08%
Mar 19, 2018;11,068.49;11046.03;11,120.75;10,994.68;8.06B;0.16%
Mar 16, 2018;11,051.12;11166.43;11,192.36;11,051.12;8.17B;-1.01%
Mar 15, 2018;11,163.65;11100.53;11,195.94;11,051.62;9.03B;0.22%
Mar 14, 2018;11,139.63;11198.77;11,242.30;11,138.39;9.39B;-0.91%
Mar 13, 2018;11,241.41;11311.04;11,335.30;11,236.38;10.89B;-0.75%
Mar 12, 2018;11,326.27;11266.32;11,328.77;11,260.46;13.41B;1.17%
Mar 09, 2018;11,194.91;11040.37;11,203.72;11,030.55;12.03B;1.60%
Mar 08, 2018;11,019.08;10902.35;11,019.08;10,892.18;8.32B;1.05%
Mar 07, 2018;10,904.99;10993.95;11,031.48;10,897.58;9.18B;-0.94%
Mar 06, 2018;11,007.95;10909.28;11,007.95;10,873.85;11.22B;1.22%
Mar 05, 2018;10,875.68;10882.87;10,913.03;10,813.47;8.00B;0.18%
Mar 02, 2018;10,856.25;10857.87;10,947.39;10,840.01;9.16B;-0.79%
Mar 01, 2018;10,943.13;10754.62;10,943.13;10,732.93;9.78B;1.06%
Feb 28, 2018;10,828.73;10705.81;10,875.71;10,656.36;10.09B;0.20%
Feb 27, 2018;10,807.53;10898.29;10,915.36;10,791.95;10.40B;-0.81%
Feb 26, 2018;10,895.56;10731.31;10,920.21;10,670.17;11.18B;2.18%
Feb 23, 2018;10,662.79;10667.81;10,700.11;10,578.79;7.59B;0.04%
Feb 22, 2018;10,658.94;10547.81;10,667.80;10,526.98;7.84B;2.18%
Feb 14, 2018;10,431.91;10381.16;10,433.09;10,319.15;5.34B;0.67%
Feb 13, 2018;10,362.43;10367.68;10,486.81;10,350.17;7.72B;0.69%
Feb 12, 2018;10,291.88;10059.86;10,325.68;10,059.86;8.10B;2.91%
Feb 09, 2018;10,001.23;10096.47;10,172.78;9,868.83;11.35B;-3.58%
Feb 08, 2018;10,372.59;10219.39;10,411.20;10,219.21;8.62B;1.23%
Feb 07, 2018;10,246.97;10563.31;10,599.54;10,173.66;11.27B;-1.26%
Feb 06, 2018;10,377.61;10603.53;10,685.16;10,377.61;11.79B;-4.23%
Feb 05, 2018;10,836.25;10761.08;10,873.24;10,741.85;9.11B;-0.81%
Feb 02, 2018;10,925.16;10794.13;10,933.15;10,663.54;10.70B;0.56%
Feb 01, 2018;10,864.34;11145.41;11,171.36;10,836.35;12.92B;-2.65%
Jan 31, 2018;11,159.68;11210.06;11,244.18;11,119.32;10.72B;-1.06%
Jan 30, 2018;11,278.78;11319.97;11,370.00;11,260.31;9.38B;-0.65%
Jan 29, 2018;11,352.72;11547.68;11,556.65;11,323.69;12.24B;-1.77%
Jan 26, 2018;11,557.82;11524.70;11,605.13;11,512.94;10.08B;0.05%
Jan 25, 2018;11,552.56;11588.38;11,633.46;11,548.68;12.39B;-0.47%
Jan 24, 2018;11,607.57;11548.21;11,613.95;11,456.26;12.78B;0.45%
Jan 23, 2018;11,555.25;11514.56;11,564.95;11,493.74;10.16B;0.37%
